Classe,Sexo,Idade,survived,cabin
3,male,16,Não,
3,male,,Sim,
3,male,,Não,
3,male,,Não,
3,male,25,Não,
3,male,,Não,
3,male,,Não,
3,male,,Não,
3,male,38.5,Não,
3,male,,Não,
3,male,14.5,Não,
3,Feminino,,Não,
3,Feminino,,Não,
3,Feminino,,Não,
3,Feminino,,Não,
3,male,,Não,
3,male,,Não,
3,male,,Não,
3,male,,Não,
3,Feminino,,Não,
3,male,24,Não,
3,Feminino,21,Sim,
3,male,39,Não,
3,male,,Não,
3,male,,Não,
3,male,,Não,
3,Feminino,1,Sim,G6
3,Feminino,24,Sim,G6
3,Feminino,4,Sim,G6
3,male,25,Sim,
3,male,20,Não,
3,male,24.5,Não,
3,male,,Não,
3,male,,Não,
3,male,,Não,
3,male,29,Sim,
3,male,,Não,
3,Feminino,,Sim,
3,male,,Não,
3,male,,Não,
3,male,22,Não,
3,male,,Não,
3,male,40,Não,
3,male,21,Não,
3,Feminino,18,Sim,
3,male,4,Não,
3,male,10,Não,
3,Feminino,9,Não,
3,Feminino,2,Não,
3,male,40,Não,
3,Feminino,45,Não,
3,male,,Não,
3,male,,Não,
3,male,,Não,
3,male,,Não,
3,Feminino,,Sim,
3,male,19,Não,F G73
3,male,30,Não,
3,male,,Não,
3,male,32,Não,
3,male,,Não,
3,male,33,Não,
3,Feminino,23,Sim,
3,male,21,Não,
3,male,60.5,Não,
3,male,19,Não,
3,Feminino,22,Não,
3,male,31,Sim,
3,male,27,Não,
3,Feminino,2,Não,G6
3,Feminino,29,Não,G6
3,male,16,Sim,
3,male,44,Sim,
3,male,25,Não,
3,male,74,Não,
3,male,14,Sim,
3,male,24,Não,
3,male,25,Sim,
3,male,34,Não,
3,male, 4.167,Sim,
3,male,,Não,
3,male,,Não,
3,male,,Não,
3,Feminino,16,Sim,
3,male,,Não,
3,male,,Não,
3,Feminino,,Sim,
3,male,32,Não,
3,male,,Não,F38
3,male,,Não,
3,male,30.5,Não,
3,male,44,Não,
3,male,,Não,
3,male,25,Sim,
3,male,,Não,
3,male,7,Sim,
3,Feminino,9,Sim,
3,Feminino,29,Sim,
3,male,36,Não,
3,Feminino,18,Sim,
3,Feminino,63,Sim,
3,male,,Não,
3,male,11.5,Não,
3,male,40.5,Não,
3,Feminino,10,Não,
3,male,36,Não,
3,Feminino,30,Não,
3,male,,Não,
3,male,33,Não,
3,male,28,Não,
3,male,28,Não,
3,male,47,Não,
3,Feminino,18,Não,
3,male,31,Não,
3,male,16,Não,
3,Feminino,31,Não,
3,male,22,Sim,
3,male,20,Não,
3,Feminino,14,Não,
3,male,22,Não,
3,male,22,Não,
3,male,,Não,
3,male,,Não,
3,male,,Não,
3,male,32.5,Não,
3,Feminino,38,Sim,
3,male,51,Não,
3,male,18,Não,
3,male,21,Não,
3,Feminino,47,Sim,
3,male,,Não,
3,male,,Não,
3,male,,Não,
3,male,28.5,Não,
3,male,21,Não,
3,male,27,Não,
3,male,,Não,
3,male,36,Não,
3,male,27,Não,
3,Feminino,15,Sim,
3,male,45.5,Não,
3,male,,Não,
3,male,,Não,
3,Feminino,14.5,Não,
3,Feminino,,Não,
3,male,26.5,Não,
3,male,27,Não,
3,male,29,Não,
